"variable","CODE_SEC","RES_SEC","W_IND"
"h8","003","002",41.90662
"h8","003","004",98.54049
"h8","003","005",75.93988
"h8","003","007",97.12692
"h8","003","009",62.26573
"h8","003","016",17.70149
"h8","003","020",26.7971
"h8","003","023",62.70397
"h8","003","030",56.98222
"h8","014","001",32.35147
"h8","014","003",61.942
"h8","014","004",45.45149
"h8","014","005",194.0354
"h8","014","006",150.30854
"h8","014","007",43.65699
"h8","014","013",18.73609
"h8","014","015",36.517
"h8","014","016",37.25936
"h8","014","017",31.07741
"h8","014","020",27.74702
"h8","014","023",62.70397
"h8","014","028",35.69996
"h9","003","002",41.90662
"h9","003","004",98.54049
"h9","003","005",75.93988
"h9","003","007",97.12692
"h9","003","009",128.83133
"h9","003","011",36.54148
"h9","003","016",17.70149
"h9","003","017",26.66443
"h9","003","023",62.70397
"h9","003","030",56.98222
"h9","014","001",32.35147
"h9","014","003",61.942
"h9","014","004",45.45149
"h9","014","005",194.0354
"h9","014","006",150.30854
"h9","014","007",43.65699
"h9","014","013",18.73609
"h9","014","015",36.517
"h9","014","016",37.25936
"h9","014","017",31.07741
"h9","014","020",27.74702
"h9","014","023",62.70397
"h9","014","028",35.69996
"h10","003","004",98.54049
"h10","003","005",75.93988
"h10","003","007",97.12692
"h10","003","009",62.26573
"h10","003","011",36.54148
"h10","003","017",26.66443
"h10","003","023",62.70397
"h10","003","030",56.98222
"h10","014","001",32.35147
"h10","014","003",61.942
"h10","014","004",45.45149
"h10","014","005",194.0354
"h10","014","006",150.30854
"h10","014","007",43.65699
"h10","014","013",18.73609
"h10","014","015",36.517
"h10","014","016",37.25936
"h10","014","017",31.07741
"h10","014","020",27.74702
"h10","014","023",62.70397
"h10","014","028",35.69996
"h11","003","001",26.2924
"h11","003","004",191.0001
"h11","003","005",57.24768
"h11","003","007",97.12692
"h11","003","009",62.26573
"h11","003","011",36.54148
"h11","003","017",40.67506
"h11","003","023",62.70397
"h11","003","030",56.98222
"h11","014","001",32.35147
"h11","014","003",61.942
"h11","014","004",45.45149
"h11","014","005",264.57707
"h11","014","006",150.30854
"h11","014","007",43.65699
"h11","014","013",18.73609
"h11","014","015",36.517
"h11","014","016",37.25936
"h11","014","017",31.07741
"h11","014","020",27.74702
"h11","014","023",62.70397
"h11","014","024",63.24076
"h11","014","028",35.69996
"h12","014","001",32.35147
"h12","014","005",264.57707
"h12","014","006",150.30854
"h12","014","013",18.73609
"h12","014","015",36.517
"h12","014","016",37.25936
"h12","014","017",31.07741
"h12","014","020",27.74702
"h12","014","023",62.70397
"h12","014","028",35.69996
"h13","003","001",26.2924
"h13","003","004",153.04235
"h13","003","007",97.12692
"h13","003","009",62.26573
"h13","003","011",36.54148
"h13","003","023",62.70397
"h13","003","030",56.98222
"h13","014","001",32.35147
"h13","014","004",45.45149
"h13","014","005",264.57707
"h13","014","006",150.30854
"h13","014","013",18.73609
"h13","014","015",36.517
"h13","014","016",37.25936
"h13","014","019",23.27648
"h13","014","020",27.74702
"h13","014","023",62.70397
"h13","014","028",35.69996
"h14","003","001",26.2924
"h14","003","004",153.04235
"h14","003","007",97.12692
"h14","003","009",62.26573
"h14","003","016",17.70149
"h14","003","023",62.70397
"h14","003","024",63.24076
"h14","003","030",56.98222
"h14","014","001",32.35147
"h14","014","004",45.45149
"h14","014","005",194.0354
"h14","014","006",71.78967
"h14","014","013",18.73609
"h14","014","015",36.517
"h14","014","016",37.25936
"h14","014","019",23.27648
"h14","014","020",27.74702
"h14","014","023",62.70397
"h14","014","028",35.69996
"h15","001","004",92.45961
"h15","001","005",57.24768
"h15","001","006",78.51887
"h15","001","007",43.65699
"h15","001","016",37.25936
"h15","001","017",154.48128
"h15","001","024",55.05354
"h15","001","027",35.04097
"h15","003","001",26.2924
"h15","003","004",134.97713
"h15","003","007",97.12692
"h15","003","009",62.26573
"h15","003","016",17.70149
"h15","003","023",62.70397
"h15","003","030",56.98222
"h15","014","001",32.35147
"h15","014","004",45.45149
"h15","014","005",194.0354
"h15","014","006",134.77202
"h15","014","010",28.30252
"h15","014","013",18.73609
"h15","014","015",36.517
"h15","014","016",37.25936
"h15","014","017",24.69051
"h15","014","019",23.27648
"h15","014","020",27.74702
"h15","014","023",62.70397
"h15","014","028",35.69996
"h16","014","001",32.35147
"h16","014","004",45.45149
"h16","014","005",100.8861
"h16","014","006",71.78967
"h16","014","010",28.30252
"h16","014","013",18.73609
"h16","014","015",36.517
"h16","014","016",37.25936
"h16","014","017",24.69051
"h16","014","019",23.27648
"h16","014","023",62.70397
"h16","014","028",35.69996
