"variable","CODE_SEC","RES_SEC","W_IND"
"h7","011","012",774.7335
"h7","011","013",617.39344
"h7","011","014",36.90267
"h7","011","015",336.63412
"h7","011","016",161.13109
"h7","012","013",215.44868
"h7","012","014",33.02558
"h7","012","015",158.13646
"h7","012","016",116.44454
"h7","013","011",384.581
"h7","013","012",103.96744
"h7","013","014",117.56179
"h7","013","015",315.70857
"h7","013","016",384.4759
"h7","016","011",69.87976
"h7","016","012",86.15961
"h7","016","013",140.14874
"h7","016","014",109.17851
"h7","016","015",100.06304
"h8","011","012",815.86749
"h8","011","013",845.58438
"h8","011","014",288.55722
"h8","011","015",745.27851
"h8","011","016",341.19573
"h8","012","011",357.13902
"h8","012","013",215.44868
"h8","012","014",237.03642
"h8","012","015",414.40391
"h8","012","016",116.44454
"h8","013","011",494.84708
"h8","013","012",379.57406
"h8","013","014",117.56179
"h8","013","015",747.21446
"h8","013","016",599.42016
"h8","016","011",231.19418
"h8","016","012",870.60231
"h8","016","013",620.40674
"h8","016","014",441.24622
"h8","016","015",185.03665
"h8","018","011",400.4913
"h8","018","012",172.98468
"h8","018","013",64.03603
"h8","018","014",1009.61743
"h8","018","015",125.94223
"h8","018","016",17.62291
"h9","011","012",929.34316
"h9","011","013",933.51394
"h9","011","014",493.96555
"h9","011","015",824.88829
"h9","011","016",549.86481
"h9","012","011",416.53644
"h9","012","013",360.219
"h9","012","014",237.03642
"h9","012","015",381.51648
"h9","012","016",73.63881
"h9","013","011",544.50866
"h9","013","012",379.57406
"h9","013","014",137.18692
"h9","013","015",839.52232
"h9","013","016",635.39881
"h9","014","011",196.6869
"h9","014","012",127.91292
"h9","014","013",235.67682
"h9","014","015",56.96337
"h9","014","016",170.73592
"h9","015","011",73.28156
"h9","015","012",568.31127
"h9","015","013",28.54062
"h9","015","014",174.32073
"h9","015","016",890.25865
"h9","016","011",461.79261
"h9","016","012",1115.79266
"h9","016","013",807.05708
"h9","016","014",538.9079
"h9","016","015",387.29819
"h9","018","011",400.4913
"h9","018","012",172.98468
"h9","018","013",64.03603
"h9","018","014",1009.61743
"h9","018","015",161.63783
"h10","011","012",1623.71276
"h10","011","013",967.27458
"h10","011","014",444.00851
"h10","011","015",769.72277
"h10","011","016",549.86481
"h10","012","011",295.14776
"h10","012","013",300.83006
"h10","012","014",256.66155
"h10","012","015",701.9911
"h10","012","016",109.61746
"h10","013","011",570.06993
"h10","013","012",333.49329
"h10","013","014",117.56179
"h10","013","015",834.95725
"h10","013","016",1192.51796
"h10","014","011",220.30688
"h10","014","012",127.91292
"h10","014","013",258.99742
"h10","014","015",56.96337
"h10","014","016",170.73592
"h10","015","011",96.90154
"h10","015","012",176.4909
"h10","015","013",28.54062
"h10","015","014",171.20839
"h10","015","016",912.78174
"h10","016","011",453.19222
"h10","016","012",946.15126
"h10","016","013",906.12626
"h10","016","014",510.83331
"h10","016","015",518.06179
"h10","018","011",400.4913
"h10","018","012",172.98468
"h10","018","013",64.03603
"h10","018","014",972.71476
"h10","018","015",125.94223
"h10","018","016",22.52309
"h11","011","012",1391.46616
"h11","011","013",926.91711
"h11","011","014",355.74544
"h11","011","015",668.11454
"h11","011","016",641.52309
"h11","012","011",248.88798
"h11","012","013",238.76928
"h11","012","014",237.03642
"h11","012","015",654.15081
"h11","012","016",888.50564
"h11","013","011",544.50866
"h11","013","012",372.83011
"h11","013","014",117.56179
"h11","013","015",754.89982
"h11","013","016",468.06365
"h11","016","011",420.45316
"h11","016","012",711.91956
"h11","016","013",753.69882
"h11","016","014",394.23525
"h11","016","015",416.8887
"h11","018","011",400.4913
"h11","018","012",172.98468
"h11","018","013",64.03603
"h11","018","014",972.71476
"h11","018","015",125.94223
"h11","018","016",22.52309
"h12","011","012",904.27646
"h12","011","013",611.57502
"h12","011","014",200.29907
"h12","011","015",594.70898
"h12","011","016",487.73003
"h12","012","011",71.82105
"h12","012","013",238.76928
"h12","012","014",237.03642
"h12","012","015",309.7926
"h12","012","016",51.11572
"h12","013","011",73.28156
"h12","013","012",306.33621
"h12","013","014",137.18692
"h12","013","015",418.11286
"h12","013","016",302.2003
"h12","016","011",229.80742
"h12","016","012",652.91703
"h12","016","013",442.73594
"h12","016","014",211.84246
"h12","016","015",587.80288
"h13","011","012",999.04567
"h13","011","013",1282.23554
"h13","011","014",392.99192
"h13","011","015",630.40458
"h13","011","016",588.96948
"h13","012","011",71.82105
"h13","012","013",244.92019
"h13","012","014",200.13375
"h13","012","015",445.1468
"h13","012","016",51.11572
"h13","013","011",544.50866
"h13","013","012",306.33621
"h13","013","014",157.5768
"h13","013","015",634.25451
"h13","013","016",347.24648
"h13","014","011",445.96568
"h13","014","012",117.82099
"h13","014","013",181.72251
"h13","014","015",56.96337
"h13","014","016",170.73592
"h13","015","011",98.84283
"h13","015","012",170.2401
"h13","015","014",154.6956
"h13","015","016",134.06745
"h13","016","011",264.7769
"h13","016","012",643.11456
"h13","016","013",720.56378
"h13","016","014",468.19649
"h13","016","015",751.52477
"h14","011","012",1091.63792
"h14","011","013",1365.66814
"h14","011","014",367.45775
"h14","011","015",965.99248
"h14","011","016",604.66549
"h14","012","011",46.25978
"h14","012","013",299.18104
"h14","012","014",231.18405
"h14","012","015",367.15203
"h14","012","016",87.09437
"h14","013","011",565.59797
"h14","013","012",579.90473
"h14","013","014",177.20193
"h14","013","015",626.56915
"h14","013","016",522.17736
"h14","014","011",264.42679
"h14","014","012",117.82099
"h14","014","013",181.72251
"h14","014","015",56.96337
"h14","014","016",204.22873
"h14","015","011",122.46281
"h14","015","012",197.39718
"h14","015","014",154.6956
"h14","015","016",160.91584
"h14","016","011",460.81243
"h14","016","012",1051.98649
